,id,alias,name,is_closed,review_count,rating,distance,Category,Latitude,Longitude,zip_code,Review
0,1SWx5qb0wVEhK8qnPWay5Q,pieminister-bristol,Pieminister,FALSE,50,4.4,227.3655786,['British'],51.4613576,-2.5905093,BS1 3PR,say love pieminister would drastic unforgivable understatement 'pieminister adore like stick rock
0,1SWx5qb0wVEhK8qnPWay5Q,pieminister-bristol,Pieminister,FALSE,50,4.4,227.3655786,['British'],51.4613576,-2.5905093,BS1 3PR,nothing like expecting would mean positively online comes fun place walked
0,1SWx5qb0wVEhK8qnPWay5Q,pieminister-bristol,Pieminister,FALSE,50,4.4,227.3655786,['British'],51.4613576,-2.5905093,BS1 3PR,ambiance enter establishment full rnb music lifting turns pub like covid sanitation enter lots pies piepies
1,zUZtE2_r5z5aKXpEDM5Jxg,hotel-du-vin-and-bistro-bristol-2,Hotel Du Vin & Bistro,FALSE,32,4.3,819.76618,"['Hotels', 'Bars', 'Bistros']",51.45668937,-2.5965955,BS1 2NU,ever staying bristol fully recommend stay least one night hotel stay big loft chapel facing suite room inside
1,zUZtE2_r5z5aKXpEDM5Jxg,hotel-du-vin-and-bistro-bristol-2,Hotel Du Vin & Bistro,FALSE,32,4.3,819.76618,"['Hotels', 'Bars', 'Bistros']",51.45668937,-2.5965955,BS1 2NU,really good service shame food cassoulet nothing like real thing using describe barbecue baked beans
1,zUZtE2_r5z5aKXpEDM5Jxg,hotel-du-vin-and-bistro-bristol-2,Hotel Du Vin & Bistro,FALSE,32,4.3,819.76618,"['Hotels', 'Bars', 'Bistros']",51.45668937,-2.5965955,BS1 2NU,du vin one favourite places eat bristol love classic french food fantastic sommelier bar staff service always
2,X158x1G2Mn_KL-Ut1TDiDw,poco-bristol,Poco,FALSE,17,4.7,191.1535122,"['Coffee & Tea', 'Latin American', 'Spanish']",51.462654,-2.590697,BS2 8JP,poco best tapas bar around excellent food best atmosphere created staff music layout people end eating
2,X158x1G2Mn_KL-Ut1TDiDw,poco-bristol,Poco,FALSE,17,4.7,191.1535122,"['Coffee & Tea', 'Latin American', 'Spanish']",51.462654,-2.590697,BS2 8JP,super excited check place spot lunch place heard many good things week lunchtime
2,X158x1G2Mn_KL-Ut1TDiDw,poco-bristol,Poco,FALSE,17,4.7,191.1535122,"['Coffee & Tea', 'Latin American', 'Spanish']",51.462654,-2.590697,BS2 8JP,mmmmmmmmmmmmmmmm mmm mm sigh food-related pleasure tucked away one bristol quirkiest corners quite literally corner one take
3,k1OACTAqtyjtz2kMwsnY6w,catch22-bristol-2,Catch22,FALSE,15,4.7,1282.921929,"['Seafood', 'Fish & Chips', 'Gluten-Free']",51.452613,-2.599584,,second time ate first time visited bristol come back time around probably favorite fish chips pub
